t(s)	v_x(t)	v_y(t)	v_z(t)
2.40000000000000e-01	4.42874704760120e-07	4.90380998945598e-08	4.88634291285496e-07
2.45000000000000e-01	4.47743344933687e-07	5.02996468944796e-08	4.85155851137176e-07
2.50000000000000e-01	4.55125368033109e-07	4.38302966043362e-08	5.01989271371337e-07
2.55000000000000e-01	4.60174305313781e-07	6.71261573383335e-08	4.98725458287665e-07
2.60000000000000e-01	4.67805956296726e-07	5.22399492740707e-08	5.15866302833890e-07
2.65000000000000e-01	4.73050275752511e-07	5.44887789779306e-08	5.12827019858203e-07
2.70000000000000e-01	4.80951286330787e-07	4.04684077300623e-08	5.30305307144444e-07
2.75000000000000e-01	4.86407174194472e-07	6.09143262634980e-08	5.27523966964821e-07
2.80000000000000e-01	4.94598954253780e-07	8.32928999199028e-08	5.45374854471218e-07
2.85000000000000e-01	5.00284054577869e-07	6.95607839293264e-08	5.42866679758251e-07
2.90000000000000e-01	5.08789610440536e-07	6.65879786423215e-08	5.61092943304225e-07
2.95000000000000e-01	5.14722879866898e-07	6.95373497910953e-08	5.58866832857351e-07
3.00000000000000e-01	5.23566998193986e-07	6.63480351452915e-08	5.77513996862696e-07
3.05000000000000e-01	5.29769169409381e-07	7.07492123646215e-08	5.75628471638721e-07
3.10000000000000e-01	5.38979114509963e-07	6.77863282628851e-08	5.94754383956020e-07
3.15000000000000e-01	5.45473114224912e-07	7.27129549642275e-08	5.93224769331200e-07
3.20000000000000e-01	5.55078610038961e-07	6.97960063838973e-08	6.12807225682720e-07
3.25000000000000e-01	5.61889484447432e-07	7.50185108964952e-08	6.11631903453418e-07
3.30000000000000e-01	5.71923072887291e-07	7.21355489803245e-08	6.31745360834528e-07
3.35000000000000e-01	5.79078621640796e-07	7.75841210804820e-08	6.31025636074937e-07
3.40000000000000e-01	5.89576492554830e-07	7.47365876610801e-08	6.51758425119734e-07
3.45000000000000e-01	5.97107835441732e-07	8.03862675644735e-08	6.51505406000821e-07
3.50000000000000e-01	6.08110083275922e-07	7.75843687806749e-08	6.72805771872263e-07
3.55000000000000e-01	6.16051773113469e-07	8.34302702320968e-08	6.73026628607590e-07
3.60000000000000e-01	6.27602719977531e-07	8.06839494759735e-08	6.95039500392011e-07
3.65000000000000e-01	6.35993408092288e-07	8.67253658263970e-08	6.95893115395923e-07
3.70000000000000e-01	6.48142897107757e-07	8.40437942636921e-08	7.18706235273595e-07
3.75000000000000e-01	6.57026500377047e-07	9.02854161998677e-08	7.20174067807069e-07
3.80000000000000e-01	6.69830702071234e-07	8.76860478669263e-08	7.43718169173511e-07
3.85000000000000e-01	6.79256848434578e-07	9.41427158404468e-08	7.45843064402045e-07
3.90000000000000e-01	6.92778634113356e-07	9.16510520436377e-08	7.70350527462922e-07
3.95000000000000e-01	7.02803182851166e-07	9.83351448270128e-08	7.73345009066695e-07
4.00000000000000e-01	7.17113508795536e-07	9.59660034852871e-08	7.98894071518181e-07
4.05000000000000e-01	7.27800570335942e-07	1.02874144493267e-07	8.02732590186648e-07
4.10000000000000e-01	7.42981803974603e-07	1.00648924495375e-07	8.29302956397435e-07
4.15000000000000e-01	7.54407803695152e-07	1.07801632867779e-07	8.34124295316460e-07
4.20000000000000e-01	7.70555421235406e-07	1.05796592937254e-07	8.62059873645169e-07
4.25000000000000e-01	7.82803030109516e-07	1.13208467744415e-07	8.68127030729325e-07
4.30000000000000e-01	8.00015945257807e-07	1.11455647565785e-07	8.97470464463791e-07
