  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000390E+01  -0.2235285E-02   0.1000390E+01  -0.3902829E-04
 0.2099800E+00   0.1000390E+01  -0.2235285E-02   0.1000390E+01  -0.3902829E-04
 0.4000000E+00   0.1001431E+01  -0.8207686E-02   0.1001431E+01  -0.1434561E-03
 0.6000000E+00   0.1003197E+01  -0.1832540E-01   0.1003197E+01  -0.3208612E-03
 0.8000000E+00   0.1005667E+01  -0.3240845E-01   0.1005667E+01  -0.5688395E-03
 0.1000000E+01   0.1008834E+01  -0.5029741E-01   0.1008833E+01  -0.8856101E-03
 0.1200000E+01   0.1012683E+01  -0.7164699E-01   0.1012682E+01  -0.1266335E-02
 0.1400000E+01   0.1017183E+01  -0.9570597E-01   0.1017182E+01  -0.1699086E-02
 0.1600000E+01   0.1022267E+01  -0.1207545E+00   0.1022265E+01  -0.2154492E-02
 0.1800000E+01   0.1027789E+01  -0.1424369E+00   0.1027786E+01  -0.2555074E-02
 0.2000000E+01   0.1033405E+01  -0.1476368E+00   0.1033401E+01  -0.2662821E-02
 0.2200000E+01   0.1038235E+01  -0.8301320E-01   0.1038234E+01  -0.1504250E-02
 0.2400000E+01   0.1041995E+01   0.3672215E+00   0.1041974E+01   0.6678334E-02
 0.2600000E+01   0.1065000E+01   0.1571422E+01   0.1064599E+01   0.2920555E-01
 0.2800000E+01   0.1100706E+01   0.3830415E+00   0.1100681E+01   0.7358531E-02
 0.3000000E+01   0.1108690E+01  -0.2528694E+00   0.1108680E+01  -0.4893082E-02
 0.3200000E+01   0.1118890E+01  -0.4876556E+00   0.1118850E+01  -0.9522978E-02
 0.3400000E+01   0.1132056E+01  -0.6327173E+00   0.1131986E+01  -0.1250104E-01
 0.3600000E+01   0.1147466E+01  -0.7580253E+00   0.1147366E+01  -0.1518058E-01
 0.3800000E+01   0.1164749E+01  -0.9010200E+00   0.1164605E+01  -0.1831582E-01
 0.4000000E+01   0.1183048E+01  -0.1026075E+01   0.1182859E+01  -0.2118536E-01
 0.4200000E+01   0.1203797E+01  -0.1138702E+01   0.1203559E+01  -0.2392281E-01
 0.4400000E+01   0.1226612E+01  -0.1270668E+01   0.1226310E+01  -0.2720076E-01
 0.4600000E+01   0.1251445E+01  -0.1416685E+01   0.1251063E+01  -0.3093985E-01
 0.4800000E+01   0.1278445E+01  -0.1574991E+01   0.1277962E+01  -0.3513845E-01
 0.5000000E+01   0.1307793E+01  -0.1745653E+01   0.1307186E+01  -0.3983886E-01
 0.5200000E+01   0.1339693E+01  -0.1929014E+01   0.1338934E+01  -0.4509580E-01
 0.5400000E+01   0.1374372E+01  -0.2125110E+01   0.1373427E+01  -0.5096402E-01
 0.5600000E+01   0.1412075E+01  -0.2333063E+01   0.1410904E+01  -0.5748326E-01
 0.5800000E+01   0.1453060E+01  -0.2549911E+01   0.1451621E+01  -0.6464610E-01
 0.6000000E+01   0.1497601E+01  -0.2767939E+01   0.1495854E+01  -0.7232045E-01
 0.6200000E+01   0.1546035E+01  -0.2968222E+01   0.1543961E+01  -0.8005691E-01
 0.6400000E+01   0.1599117E+01  -0.3106457E+01   0.1596767E+01  -0.8665826E-01
 0.6600000E+01   0.1659781E+01  -0.3109701E+01   0.1657337E+01  -0.9003962E-01
 0.6800000E+01   0.1735233E+01  -0.3016777E+01   0.1732829E+01  -0.9132249E-01
 0.7000000E+01   0.1832920E+01  -0.3068178E+01   0.1830292E+01  -0.9810558E-01
 0.7200000E+01   0.1949506E+01  -0.3824294E+01   0.1945165E+01  -0.1300262E+00
 0.7400000E+01   0.2061255E+01  -0.5009868E+01   0.2053380E+01  -0.1800039E+00
 0.7600000E+01   0.2175284E+01  -0.6087895E+01   0.2163016E+01  -0.2306975E+00
 0.7800000E+01   0.2303489E+01  -0.7085602E+01   0.2285897E+01  -0.2841402E+00
 0.8000000E+01   0.2452177E+01  -0.8113155E+01   0.2427633E+01  -0.3460721E+00
 0.8200000E+01   0.2626530E+01  -0.9250382E+01   0.2592372E+01  -0.4222124E+00
 0.8400000E+01   0.2832803E+01  -0.1056487E+02   0.2784781E+01  -0.5193905E+00
 0.8600000E+01   0.3079271E+01  -0.1213246E+02   0.3010493E+01  -0.6471779E+00
 0.8800000E+01   0.3376833E+01  -0.1405377E+02   0.3275759E+01  -0.8200047E+00
 0.9000000E+01   0.3739035E+01  -0.1646548E+02   0.3585700E+01  -0.1059783E+01
 0.9200000E+01   0.4181258E+01  -0.1952302E+02   0.3940866E+01  -0.1397316E+01
 0.9400000E+01   0.4725773E+01  -0.2334114E+02   0.4339026E+01  -0.1872374E+01
 0.9600000E+01   0.5421593E+01  -0.2818288E+02   0.4778834E+01  -0.2560550E+01
 0.9800000E+01   0.6325795E+01  -0.3481500E+02   0.5193476E+01  -0.3611577E+01
 0.1000000E+02   0.7443590E+01  -0.4422511E+02   0.5334114E+01  -0.5191749E+01
 0.1020000E+02   0.8657323E+01  -0.5732639E+02   0.4673679E+01  -0.7287384E+01
 0.1040000E+02   0.9575658E+01  -0.7451057E+02   0.2557282E+01  -0.9227868E+01
 0.1060000E+02   0.9589814E+01  -0.9398794E+02  -0.6669377E+00  -0.9566594E+01
 0.1080000E+02   0.8639805E+01  -0.1118337E+03  -0.3213269E+01  -0.8020045E+01
 0.1100000E+02   0.7327075E+01  -0.1256418E+03  -0.4269606E+01  -0.5954535E+01
 0.1120000E+02   0.6115573E+01  -0.1355401E+03  -0.4364934E+01  -0.4283408E+01
 0.1140000E+02   0.5137194E+01  -0.1425576E+03  -0.4078751E+01  -0.3123229E+01
 0.1160000E+02   0.4374986E+01  -0.1476223E+03  -0.3694834E+01  -0.2342799E+01
 0.1180000E+02   0.3780713E+01  -0.1513712E+03  -0.3318490E+01  -0.1811467E+01
 0.1200000E+02   0.3310973E+01  -0.1542115E+03  -0.2981221E+01  -0.1440438E+01
 0.1220000E+02   0.2933158E+01  -0.1564006E+03  -0.2687850E+01  -0.1174258E+01
 0.1240000E+02   0.2623910E+01  -0.1581008E+03  -0.2434573E+01  -0.9786506E+00
 0.1260000E+02   0.2366613E+01  -0.1594130E+03  -0.2215480E+01  -0.8321698E+00
 0.1280000E+02   0.2149386E+01  -0.1603948E+03  -0.2024779E+01  -0.7212003E+00
 0.1300000E+02   0.1963711E+01  -0.1610695E+03  -0.1857499E+01  -0.6370699E+00
 0.1320000E+02   0.1803613E+01  -0.1614293E+03  -0.1709701E+01  -0.5744043E+00
 0.1340000E+02   0.1665317E+01  -0.1614360E+03  -0.1578668E+01  -0.5301773E+00
 0.1360000E+02   0.1547377E+01  -0.1610295E+03  -0.1463333E+01  -0.5030242E+00
 0.1380000E+02   0.1451055E+01  -0.1601719E+03  -0.1365029E+01  -0.4921959E+00
 0.1400000E+02   0.1379786E+01  -0.1589630E+03  -0.1287822E+01  -0.4953021E+00
 0.1420000E+02   0.1335610E+01  -0.1577587E+03  -0.1236238E+01  -0.5055387E+00
 0.1440000E+02   0.1314848E+01  -0.1570692E+03  -0.1210944E+01  -0.5122904E+00
 0.1460000E+02   0.1307889E+01  -0.1573378E+03  -0.1206910E+01  -0.5039261E+00
 0.1480000E+02   0.1299260E+01  -0.1587195E+03  -0.1210670E+01  -0.4715452E+00
 0.1500000E+02   0.1275147E+01  -0.1608118E+03  -0.1204305E+01  -0.4191058E+00
 0.1520000E+02   0.1234494E+01  -0.1629746E+03  -0.1180392E+01  -0.3614541E+00
 0.1540000E+02   0.1184830E+01  -0.1648347E+03  -0.1143568E+01  -0.3099567E+00
 0.1560000E+02   0.1133218E+01  -0.1663190E+03  -0.1101066E+01  -0.2680242E+00
 0.1580000E+02   0.1083509E+01  -0.1674848E+03  -0.1057763E+01  -0.2347954E+00
 0.1600000E+02   0.1037203E+01  -0.1684118E+03  -0.1016062E+01  -0.2083490E+00
 0.1620000E+02   0.9946193E+00  -0.1691662E+03  -0.9768917E+00  -0.1869498E+00
 0.1640000E+02   0.9555855E+00  -0.1697941E+03  -0.9404656E+00  -0.1693166E+00
 0.1660000E+02   0.9197880E+00  -0.1703258E+03  -0.9067079E+00  -0.1545668E+00
 0.1680000E+02   0.8869107E+00  -0.1707811E+03  -0.8754550E+00  -0.1420889E+00
 0.1700000E+02   0.8566606E+00  -0.1711746E+03  -0.8465182E+00  -0.1314315E+00
 0.1720000E+02   0.8287534E+00  -0.1715168E+03  -0.8196862E+00  -0.1222571E+00
 0.1740000E+02   0.8029202E+00  -0.1718134E+03  -0.7947381E+00  -0.1143332E+00
 0.1760000E+02   0.7789239E+00  -0.1720659E+03  -0.7714676E+00  -0.1075185E+00
 0.1780000E+02   0.7565676E+00  -0.1722715E+03  -0.7496952E+00  -0.1017429E+00
 0.1800000E+02   0.7356952E+00  -0.1724239E+03  -0.7292731E+00  -0.9699582E-01
 0.1820000E+02   0.7161973E+00  -0.1725130E+03  -0.7100914E+00  -0.9332118E-01
 0.1840000E+02   0.6980244E+00  -0.1725245E+03  -0.6920915E+00  -0.9081488E-01
 0.1860000E+02   0.6812096E+00  -0.1724406E+03  -0.6752892E+00  -0.8961573E-01
 0.1880000E+02   0.6658967E+00  -0.1722431E+03  -0.6598034E+00  -0.8987663E-01
 0.1900000E+02   0.6523473E+00  -0.1719191E+03  -0.6458698E+00  -0.9170150E-01
 0.1920000E+02   0.6408824E+00  -0.1714702E+03  -0.6337935E+00  -0.9505862E-01
 0.1940000E+02   0.6317332E+00  -0.1709161E+03  -0.6238101E+00  -0.9973873E-01
 0.1960000E+02   0.6248639E+00  -0.1702845E+03  -0.6159020E+00  -0.1054493E+00
 0.1980000E+02   0.6199004E+00  -0.1695822E+03  -0.6096817E+00  -0.1120928E+00
 0.2000000E+02   0.6163743E+00  -0.1687543E+03  -0.6045398E+00  -0.1202035E+00
 0.2020000E+02   0.6144109E+00  -0.1676680E+03  -0.6002343E+00  -0.1312229E+00
 0.2040000E+02   0.6154612E+00  -0.1661597E+03  -0.5975920E+00  -0.1472284E+00
 0.2060000E+02   0.6226239E+00  -0.1641224E+03  -0.5988697E+00  -0.1703396E+00
 0.2080000E+02   0.6406525E+00  -0.1616061E+03  -0.6079214E+00  -0.2021562E+00
 0.2100000E+02   0.6756580E+00  -0.1589203E+03  -0.6304436E+00  -0.2430116E+00
 0.2120000E+02   0.7339652E+00  -0.1566782E+03  -0.6739971E+00  -0.2905732E+00
 0.2140000E+02   0.8196907E+00  -0.1556635E+03  -0.7468539E+00  -0.3377901E+00
 0.2160000E+02   0.9318884E+00  -0.1565097E+03  -0.8546606E+00  -0.3714449E+00
 0.2180000E+02   0.1063485E+01  -0.1594211E+03  -0.9956231E+00  -0.3738112E+00
