  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000233E+01  -0.1336457E-02   0.1000233E+01  -0.2333101E-04
 0.2099800E+00   0.1000233E+01  -0.1336457E-02   0.1000233E+01  -0.2333101E-04
 0.4000000E+00   0.1000855E+01  -0.4914912E-02   0.1000855E+01  -0.8585476E-04
 0.6000000E+00   0.1001913E+01  -0.1100167E-01   0.1001913E+01  -0.1923826E-03
 0.8000000E+00   0.1003394E+01  -0.1953070E-01   0.1003394E+01  -0.3420320E-03
 0.1000000E+01   0.1005300E+01  -0.3047909E-01   0.1005300E+01  -0.5347798E-03
 0.1200000E+01   0.1007628E+01  -0.4376860E-01   0.1007628E+01  -0.7697331E-03
 0.1400000E+01   0.1010371E+01  -0.5919167E-01   0.1010371E+01  -0.1043804E-02
 0.1600000E+01   0.1013512E+01  -0.7622251E-01   0.1013512E+01  -0.1348310E-02
 0.1800000E+01   0.1017009E+01  -0.9346041E-01   0.1017007E+01  -0.1658935E-02
 0.2000000E+01   0.1020752E+01  -0.1066041E+00   0.1020751E+01  -0.1899203E-02
 0.2200000E+01   0.1024464E+01  -0.9821024E-01   0.1024463E+01  -0.1756025E-02
 0.2400000E+01   0.1028005E+01   0.3375384E-01   0.1028005E+01   0.6056140E-03
 0.2600000E+01   0.1037835E+01   0.4470086E+00   0.1037803E+01   0.8096869E-02
 0.2800000E+01   0.1053034E+01   0.2543702E-01   0.1053034E+01   0.4675048E-03
 0.3000000E+01   0.1058761E+01  -0.2210183E+00   0.1058753E+01  -0.4084158E-02
 0.3200000E+01   0.1065479E+01  -0.3260841E+00   0.1065462E+01  -0.6063866E-02
 0.3400000E+01   0.1073493E+01  -0.4023942E+00   0.1073467E+01  -0.7539191E-02
 0.3600000E+01   0.1082532E+01  -0.4779014E+00   0.1082494E+01  -0.9029241E-02
 0.3800000E+01   0.1092359E+01  -0.5561060E+00   0.1092307E+01  -0.1060214E-01
 0.4000000E+01   0.1103057E+01  -0.6272194E+00   0.1102991E+01  -0.1207497E-01
 0.4200000E+01   0.1114943E+01  -0.7013729E+00   0.1114859E+01  -0.1364797E-01
 0.4400000E+01   0.1127896E+01  -0.7867609E+00   0.1127790E+01  -0.1548730E-01
 0.4600000E+01   0.1141940E+01  -0.8814757E+00   0.1141805E+01  -0.1756765E-01
 0.4800000E+01   0.1157159E+01  -0.9852896E+00   0.1156987E+01  -0.1989815E-01
 0.5000000E+01   0.1173653E+01  -0.1098721E+01   0.1173437E+01  -0.2250493E-01
 0.5200000E+01   0.1191534E+01  -0.1222445E+01   0.1191263E+01  -0.2542029E-01
 0.5400000E+01   0.1210928E+01  -0.1357052E+01   0.1210589E+01  -0.2867819E-01
 0.5600000E+01   0.1231972E+01  -0.1502742E+01   0.1231548E+01  -0.3230819E-01
 0.5800000E+01   0.1254815E+01  -0.1658704E+01   0.1254289E+01  -0.3632163E-01
 0.6000000E+01   0.1279624E+01  -0.1821648E+01   0.1278977E+01  -0.4067719E-01
 0.6200000E+01   0.1306611E+01  -0.1982169E+01   0.1305829E+01  -0.4519367E-01
 0.6400000E+01   0.1336231E+01  -0.2116994E+01   0.1335319E+01  -0.4936054E-01
 0.6600000E+01   0.1370102E+01  -0.2192175E+01   0.1369099E+01  -0.5240822E-01
 0.6800000E+01   0.1411458E+01  -0.2267109E+01   0.1410354E+01  -0.5583474E-01
 0.7000000E+01   0.1461347E+01  -0.2470975E+01   0.1459988E+01  -0.6300347E-01
 0.7200000E+01   0.1518674E+01  -0.2992859E+01   0.1516603E+01  -0.7929225E-01
 0.7400000E+01   0.1576086E+01  -0.3732071E+01   0.1572744E+01  -0.1025888E+00
 0.7600000E+01   0.1636537E+01  -0.4457150E+01   0.1631588E+01  -0.1271811E+00
 0.7800000E+01   0.1704728E+01  -0.5189082E+01   0.1697741E+01  -0.1541804E+00
 0.8000000E+01   0.1783442E+01  -0.5991066E+01   0.1773701E+01  -0.1861439E+00
 0.8200000E+01   0.1875220E+01  -0.6916706E+01   0.1861573E+01  -0.2258258E+00
 0.8400000E+01   0.1983205E+01  -0.8020471E+01   0.1963806E+01  -0.2767105E+00
 0.8600000E+01   0.2111550E+01  -0.9370932E+01   0.2083371E+01  -0.3438140E+00
 0.8800000E+01   0.2265681E+01  -0.1106490E+02   0.2223563E+01  -0.4348314E+00
 0.9000000E+01   0.2452129E+01  -0.1324192E+02   0.2386930E+01  -0.5616920E+00
 0.9200000E+01   0.2677457E+01  -0.1606860E+02   0.2572852E+01  -0.7410880E+00
 0.9400000E+01   0.2951124E+01  -0.1967673E+02   0.2778800E+01  -0.9936813E+00
 0.9600000E+01   0.3295500E+01  -0.2435973E+02   0.3002114E+01  -0.1359276E+01
 0.9800000E+01   0.3730040E+01  -0.3087610E+02   0.3201415E+01  -0.1914194E+01
 0.1000000E+02   0.4237334E+01  -0.4011211E+02   0.3240650E+01  -0.2730052E+01
 0.1020000E+02   0.4739626E+01  -0.5281406E+02   0.2864647E+01  -0.3775957E+01
 0.1040000E+02   0.5038612E+01  -0.6937038E+02   0.1775231E+01  -0.4715524E+01
 0.1060000E+02   0.4850577E+01  -0.8813136E+02   0.1581684E+00  -0.4847998E+01
 0.1080000E+02   0.4195514E+01  -0.1052403E+03  -0.1102866E+01  -0.4047966E+01
 0.1100000E+02   0.3407079E+01  -0.1182764E+03  -0.1614018E+01  -0.3000522E+01
 0.1120000E+02   0.2714104E+01  -0.1273223E+03  -0.1645557E+01  -0.2158356E+01
 0.1140000E+02   0.2168227E+01  -0.1333695E+03  -0.1488922E+01  -0.1576173E+01
 0.1160000E+02   0.1749195E+01  -0.1373184E+03  -0.1285890E+01  -0.1185820E+01
 0.1180000E+02   0.1425460E+01  -0.1397678E+03  -0.1088243E+01  -0.9206859E+00
 0.1200000E+02   0.1171144E+01  -0.1410663E+03  -0.9110012E+00  -0.7359715E+00
 0.1220000E+02   0.9676861E+00  -0.1413885E+03  -0.7561451E+00  -0.6038716E+00
 0.1240000E+02   0.8022507E+00  -0.1407805E+03  -0.6215275E+00  -0.5072570E+00
 0.1260000E+02   0.6660803E+00  -0.1391762E+03  -0.5040384E+00  -0.4354403E+00
 0.1280000E+02   0.5533643E+00  -0.1363917E+03  -0.4006757E+00  -0.3816687E+00
 0.1300000E+02   0.4606020E+00  -0.1321128E+03  -0.3088760E+00  -0.3416867E+00
 0.1320000E+02   0.3863666E+00  -0.1259120E+03  -0.2266202E+00  -0.3129255E+00
 0.1340000E+02   0.3312586E+00  -0.1174188E+03  -0.1525419E+00  -0.2940464E+00
 0.1360000E+02   0.2973795E+00  -0.1068463E+03  -0.8618235E-01  -0.2846176E+00
 0.1380000E+02   0.2860189E+00  -0.9571059E+02  -0.2845994E-01  -0.2845994E+00
 0.1400000E+02   0.2936951E+00  -0.8648877E+02   0.1798714E-01  -0.2931438E+00
 0.1420000E+02   0.3108607E+00  -0.8079974E+02   0.4970214E-01  -0.3068616E+00
 0.1440000E+02   0.3257612E+00  -0.7853469E+02   0.6475305E-01  -0.3192607E+00
 0.1460000E+02   0.3280770E+00  -0.7853031E+02   0.6523796E-01  -0.3215253E+00
 0.1480000E+02   0.3123278E+00  -0.7880520E+02   0.6063698E-01  -0.3063851E+00
 0.1500000E+02   0.2838184E+00  -0.7695996E+02   0.6403851E-01  -0.2764995E+00
 0.1520000E+02   0.2556070E+00  -0.7157558E+02   0.8078545E-01  -0.2425049E+00
 0.1540000E+02   0.2381900E+00  -0.6314042E+02   0.1076156E+00  -0.2124932E+00
 0.1560000E+02   0.2348370E+00  -0.5356624E+02   0.1394681E+00  -0.1889367E+00
 0.1580000E+02   0.2434363E+00  -0.4473049E+02   0.1729432E+00  -0.1713238E+00
 0.1600000E+02   0.2601532E+00  -0.3750958E+02   0.2063669E+00  -0.1584057E+00
 0.1620000E+02   0.2817525E+00  -0.3194085E+02   0.2390937E+00  -0.1490593E+00
 0.1640000E+02   0.3061524E+00  -0.2773357E+02   0.2709820E+00  -0.1424713E+00
 0.1660000E+02   0.3321746E+00  -0.2456704E+02   0.3021047E+00  -0.1381041E+00
 0.1680000E+02   0.3591958E+00  -0.2218230E+02   0.3326107E+00  -0.1356161E+00
 0.1700000E+02   0.3869149E+00  -0.2038788E+02   0.3626769E+00  -0.1347910E+00
 0.1720000E+02   0.4152339E+00  -0.1904650E+02   0.3925015E+00  -0.1355055E+00
 0.1740000E+02   0.4441878E+00  -0.1806251E+02   0.4222977E+00  -0.1377224E+00
 0.1760000E+02   0.4738943E+00  -0.1737105E+02   0.4522806E+00  -0.1414852E+00
 0.1780000E+02   0.5045250E+00  -0.1692927E+02   0.4826614E+00  -0.1469131E+00
 0.1800000E+02   0.5362912E+00  -0.1671040E+02   0.5136438E+00  -0.1542021E+00
 0.1820000E+02   0.5694367E+00  -0.1670006E+02   0.5454191E+00  -0.1636342E+00
 0.1840000E+02   0.6042315E+00  -0.1689411E+02   0.5781550E+00  -0.1755920E+00
