  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000619E+01  -0.3547011E-02   0.1000619E+01  -0.6194533E-04
 0.2099800E+00   0.1000619E+01  -0.3547011E-02   0.1000619E+01  -0.6194533E-04
 0.4000000E+00   0.1002271E+01  -0.1300965E-01   0.1002271E+01  -0.2275769E-03
 0.6000000E+00   0.1005074E+01  -0.2899536E-01   0.1005074E+01  -0.5086324E-03
 0.8000000E+00   0.1008991E+01  -0.5114875E-01   0.1008991E+01  -0.9007403E-03
 0.1000000E+01   0.1014007E+01  -0.7910521E-01   0.1014006E+01  -0.1399985E-02
 0.1200000E+01   0.1020094E+01  -0.1121360E+00   0.1020092E+01  -0.1996467E-02
 0.1400000E+01   0.1027186E+01  -0.1487330E+00   0.1027183E+01  -0.2666450E-02
 0.1600000E+01   0.1035153E+01  -0.1855363E+00   0.1035148E+01  -0.3352047E-02
 0.1800000E+01   0.1043704E+01  -0.2141079E+00   0.1043697E+01  -0.3900197E-02
 0.2000000E+01   0.1052156E+01  -0.2087972E+00   0.1052149E+01  -0.3834258E-02
 0.2200000E+01   0.1058765E+01  -0.6195190E-01   0.1058765E+01  -0.1144805E-02
 0.2400000E+01   0.1064007E+01   0.8816834E+00   0.1063882E+01   0.1637260E-01
 0.2600000E+01   0.1108190E+01   0.2826544E+01   0.1106841E+01   0.5464759E-01
 0.2800000E+01   0.1167688E+01   0.7194055E+00   0.1167596E+01   0.1466110E-01
 0.3000000E+01   0.1179545E+01  -0.3369600E+00   0.1179524E+01  -0.6936935E-02
 0.3200000E+01   0.1195490E+01  -0.7168049E+00   0.1195396E+01  -0.1495591E-01
 0.3400000E+01   0.1216600E+01  -0.9410687E+00   0.1216436E+01  -0.1998146E-01
 0.3600000E+01   0.1241564E+01  -0.1123350E+01   0.1241325E+01  -0.2434072E-01
 0.3800000E+01   0.1269951E+01  -0.1316218E+01   0.1269616E+01  -0.2917117E-01
 0.4000000E+01   0.1300654E+01  -0.1500844E+01   0.1300208E+01  -0.3406630E-01
 0.4200000E+01   0.1334943E+01  -0.1675170E+01   0.1334373E+01  -0.3902448E-01
 0.4400000E+01   0.1372655E+01  -0.1865275E+01   0.1371928E+01  -0.4467914E-01
 0.4600000E+01   0.1413872E+01  -0.2068887E+01   0.1412950E+01  -0.5104223E-01
 0.4800000E+01   0.1458857E+01  -0.2285363E+01   0.1457697E+01  -0.5817415E-01
 0.5000000E+01   0.1507931E+01  -0.2514953E+01   0.1506479E+01  -0.6616818E-01
 0.5200000E+01   0.1561457E+01  -0.2757743E+01   0.1559649E+01  -0.7512654E-01
 0.5400000E+01   0.1619837E+01  -0.3013075E+01   0.1617598E+01  -0.8514487E-01
 0.5600000E+01   0.1683508E+01  -0.3278670E+01   0.1680752E+01  -0.9628378E-01
 0.5800000E+01   0.1752929E+01  -0.3548744E+01   0.1749567E+01  -0.1085022E+00
 0.6000000E+01   0.1828579E+01  -0.3809596E+01   0.1824539E+01  -0.1214926E+00
 0.6200000E+01   0.1911074E+01  -0.4028770E+01   0.1906352E+01  -0.1342671E+00
 0.6400000E+01   0.2002032E+01  -0.4131862E+01   0.1996828E+01  -0.1442506E+00
 0.6600000E+01   0.2108346E+01  -0.4011470E+01   0.2103181E+01  -0.1474918E+00
 0.6800000E+01   0.2245330E+01  -0.3838959E+01   0.2240292E+01  -0.1503301E+00
 0.7000000E+01   0.2418556E+01  -0.4031992E+01   0.2412570E+01  -0.1700571E+00
 0.7200000E+01   0.2618716E+01  -0.5057287E+01   0.2608521E+01  -0.2308444E+00
 0.7400000E+01   0.2813505E+01  -0.6497855E+01   0.2795431E+01  -0.3183931E+00
 0.7600000E+01   0.3016321E+01  -0.7772249E+01   0.2988612E+01  -0.4079143E+00
 0.7800000E+01   0.3246561E+01  -0.8934035E+01   0.3207173E+01  -0.5041820E+00
