  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1000046E+01  -0.2635943E-03   0.1000046E+01  -0.4600800E-05
 0.2099800E+00   0.1000046E+01  -0.2635943E-03   0.1000046E+01  -0.4600800E-05
 0.4000000E+00   0.1000169E+01  -0.9774908E-03   0.1000169E+01  -0.1706331E-04
 0.6000000E+00   0.1000380E+01  -0.2219719E-02   0.1000380E+01  -0.3875613E-04
 0.8000000E+00   0.1000680E+01  -0.4030330E-02   0.1000680E+01  -0.7039039E-04
 0.1000000E+01   0.1001077E+01  -0.6508733E-02   0.1001077E+01  -0.1137212E-03
 0.1200000E+01   0.1001581E+01  -0.9845223E-02   0.1001581E+01  -0.1721032E-03
 0.1400000E+01   0.1002213E+01  -0.1442448E-01   0.1002213E+01  -0.2523118E-03
 0.1600000E+01   0.1003009E+01  -0.2109198E-01   0.1003009E+01  -0.3692322E-03
 0.1800000E+01   0.1004044E+01  -0.3195199E-01   0.1004044E+01  -0.5599227E-03
 0.2000000E+01   0.1005484E+01  -0.5335453E-01   0.1005484E+01  -0.9363192E-03
 0.2200000E+01   0.1007741E+01  -0.1117580E+00   0.1007740E+01  -0.1965644E-02
 0.2400000E+01   0.1010726E+01  -0.3675434E+00   0.1010705E+01  -0.6483604E-02
 0.2600000E+01   0.1005535E+01  -0.8830004E+00   0.1005416E+01  -0.1549596E-01
 0.2800000E+01   0.9968258E+00  -0.4047516E+00   0.9968009E+00  -0.7041767E-02
 0.3000000E+01   0.9995948E+00  -0.1628628E+00   0.9995907E+00  -0.2841336E-02
 0.3200000E+01   0.1002007E+01  -0.1035116E+00   0.1002005E+01  -0.1810242E-02
 0.3400000E+01   0.1003844E+01  -0.9560429E-01   0.1003842E+01  -0.1675023E-02
 0.3600000E+01   0.1005340E+01  -0.1305985E+00   0.1005338E+01  -0.2291545E-02
 0.3800000E+01   0.1005511E+01  -0.2024395E+00   0.1005505E+01  -0.3552699E-02
 0.4000000E+01   0.1004312E+01  -0.1660780E+00   0.1004308E+01  -0.2911104E-02
 0.4200000E+01   0.1004976E+01  -0.9140265E-01   0.1004974E+01  -0.1603214E-02
 0.4400000E+01   0.1005885E+01  -0.5975500E-01   0.1005884E+01  -0.1049059E-02
 0.4600000E+01   0.1006584E+01  -0.4316693E-01   0.1006584E+01  -0.7583657E-03
 0.4800000E+01   0.1007078E+01  -0.3039357E-01   0.1007078E+01  -0.5342224E-03
 0.5000000E+01   0.1007383E+01  -0.1801331E-01   0.1007383E+01  -0.3167128E-03
 0.5200000E+01   0.1007504E+01  -0.4900858E-02   0.1007504E+01  -0.8617797E-04
 0.5400000E+01   0.1007437E+01   0.8974743E-02   0.1007437E+01   0.1578038E-03
 0.5600000E+01   0.1007180E+01   0.2247466E-01   0.1007180E+01   0.3950732E-03
 0.5800000E+01   0.1006737E+01   0.3233518E-01   0.1006736E+01   0.5681571E-03
 0.6000000E+01   0.1006118E+01   0.3061488E-01   0.1006118E+01   0.5375995E-03
 0.6200000E+01   0.1005308E+01  -0.1707133E-02   0.1005308E+01  -0.2995325E-04
 0.6400000E+01   0.1004013E+01  -0.1086072E+00   0.1004011E+01  -0.1903158E-02
 0.6600000E+01   0.1000532E+01  -0.3552868E+00   0.1000513E+01  -0.6204185E-02
 0.6800000E+01   0.9912643E+00  -0.6457480E+00   0.9912013E+00  -0.1117174E-01
 0.7000000E+01   0.9759685E+00  -0.7294548E+00   0.9758894E+00  -0.1242510E-01
 0.7200000E+01   0.9580315E+00  -0.2935784E+00   0.9580190E+00  -0.4908845E-02
 0.7400000E+01   0.9456574E+00   0.4481405E+00   0.9456284E+00   0.7396410E-02
 0.7600000E+01   0.9356178E+00   0.1113232E+01   0.9354412E+00   0.1817751E-01
 0.7800000E+01   0.9239575E+00   0.1739495E+01   0.9235317E+00   0.2804696E-01
 0.8000000E+01   0.9092686E+00   0.2436071E+01   0.9084469E+00   0.3864815E-01
 0.8200000E+01   0.8908876E+00   0.3302118E+01   0.8894085E+00   0.5131596E-01
 0.8400000E+01   0.8682217E+00   0.4451269E+01   0.8656028E+00   0.6738371E-01
 0.8600000E+01   0.8406639E+00   0.6047488E+01   0.8359855E+00   0.8856621E-01
 0.8800000E+01   0.8078154E+00   0.8361486E+01   0.7992286E+00   0.1174709E+00
 0.9000000E+01   0.7706380E+00   0.1186984E+02   0.7541597E+00   0.1585117E+00
 0.9200000E+01   0.7347270E+00   0.1725963E+02   0.7016423E+00   0.2179950E+00
 0.9400000E+01   0.7110286E+00   0.2505792E+02   0.6441067E+00   0.3011449E+00
 0.9600000E+01   0.7131651E+00   0.3574852E+02   0.5787971E+00   0.4166515E+00
 0.9800000E+01   0.7814867E+00   0.4939583E+02   0.5086146E+00   0.5933234E+00
 0.1000000E+02   0.9940269E+00   0.6155282E+02   0.4735031E+00   0.8740047E+00
 0.1020000E+02   0.1399605E+01   0.6544016E+02   0.5817366E+00   0.1272979E+01
 0.1040000E+02   0.1929017E+01   0.5949000E+02   0.9793404E+00   0.1661927E+01
 0.1060000E+02   0.2374659E+01   0.4739753E+02   0.1607425E+01   0.1747911E+01
 0.1080000E+02   0.2574991E+01   0.3469085E+02   0.2117247E+01   0.1465551E+01
 0.1100000E+02   0.2579825E+01   0.2464516E+02   0.2344822E+01   0.1075780E+01
 0.1120000E+02   0.2505064E+01   0.1758327E+02   0.2388025E+01   0.7567585E+00
 0.1140000E+02   0.2417020E+01   0.1274251E+02   0.2357491E+01   0.5331220E+00
 0.1160000E+02   0.2339161E+01   0.9369982E+01   0.2307951E+01   0.3808366E+00
 0.1180000E+02   0.2276691E+01   0.6946314E+01   0.2259980E+01   0.2753414E+00
 0.1200000E+02   0.2228907E+01   0.5142753E+01   0.2219935E+01   0.1997937E+00
 0.1220000E+02   0.2193688E+01   0.3753015E+01   0.2188984E+01   0.1435893E+00
 0.1240000E+02   0.2168904E+01   0.2645024E+01   0.2166594E+01   0.1000906E+00
 0.1260000E+02   0.2152779E+01   0.1731254E+01   0.2151796E+01   0.6503864E-01
 0.1280000E+02   0.2143911E+01   0.9509626E+00   0.2143616E+01   0.3558178E-01
 0.1300000E+02   0.2141203E+01   0.2592788E+00   0.2141181E+01   0.9689484E-02
