  Freq              AMPL              PHASE          REAL          IMAG
 0.2099800E+00   0.1003997E+01  -0.2294610E-01   0.1003997E+01  -0.4020856E-03
 0.2099800E+00   0.1003997E+01  -0.2294610E-01   0.1003997E+01  -0.4020856E-03
 0.4000000E+00   0.1014920E+01  -0.8616663E-01   0.1014919E+01  -0.1526329E-02
 0.6000000E+00   0.1034292E+01  -0.1998942E+00   0.1034285E+01  -0.3608443E-02
 0.8000000E+00   0.1063315E+01  -0.3739795E+00   0.1063293E+01  -0.6940395E-02
 0.1000000E+01   0.1104319E+01  -0.6269437E+00   0.1104253E+01  -0.1208348E-01
 0.1200000E+01   0.1161079E+01  -0.9893600E+00   0.1160906E+01  -0.2004804E-01
 0.1400000E+01   0.1239827E+01  -0.1512535E+01   0.1239395E+01  -0.3272602E-01
 0.1600000E+01   0.1351305E+01  -0.2285741E+01   0.1350230E+01  -0.5389427E-01
 0.1800000E+01   0.1515278E+01  -0.3470893E+01   0.1512498E+01  -0.9173712E-01
 0.2000000E+01   0.1771405E+01  -0.5359717E+01   0.1763660E+01  -0.1654640E+00
 0.2200000E+01   0.2211489E+01  -0.8211174E+01   0.2188818E+01  -0.3158492E+00
 0.2400000E+01   0.3475230E+01  -0.1023504E+02   0.3419929E+01  -0.6175016E+00
 0.2600000E+01   0.7131302E+01  -0.6631426E+02   0.2864786E+01  -0.6530580E+01
 0.2800000E+01   0.3758043E+01  -0.1281618E+03  -0.2322035E+01  -0.2954833E+01
 0.3000000E+01   0.1848515E+01  -0.1484818E+03  -0.1575811E+01  -0.9663469E+00
 0.3200000E+01   0.1022164E+01  -0.1546104E+03  -0.9234360E+00  -0.4382742E+00
 0.3400000E+01   0.6158881E+00  -0.1556536E+03  -0.5611170E+00  -0.2539012E+00
 0.3600000E+01   0.3802727E+00  -0.1537794E+03  -0.3411426E+00  -0.1680150E+00
 0.3800000E+01   0.2219579E+00  -0.1508079E+03  -0.1937669E+00  -0.1082577E+00
